482271768451612683 Fungus*2560.15*{'Training Point': 16}*{'Combat': [0, 0, 100], 'Defense': [2, 20, 144], 'Stealing': [2, 129, 144]}*Professional-Slacker 60.0*2021-08-18 22:34:50.593079
377539145276588032 lewis*0.0*{}*{'Combat': [0, 0, 100], 'Defense': [0, 0, 100], 'Stealing': [0, 0, 100]}*None 0.0*None
407967934447878166 A Floating Yoshi*1700.8*{'Training Point': 0}*{'Combat': [2, 6, 144], 'Defense': [2, 80, 144], 'Stealing': [2, 6, 144]}*None 0.0*None
330014884307927052 Harrisimo101*530.52*{'Training Point': 0}*{'Combat': [0, 0, 100], 'Defense': [2, 76, 144], 'Stealing': [0, 0, 100]}*None 0.0*None
512658847148802069 Deeven*418.46*{'Training Point': 2}*{'Combat': [0, 0, 100], 'Defense': [0, 0, 100], 'Stealing': [0, 55, 100]}*None 0.0*None
270904126974590976 Dank Memer*0.0*{}*{'Combat': [0, 0, 100], 'Defense': [0, 0, 100], 'Stealing': [0, 0, 100]}*None 0.0*None
348555323990343681 Ps1 Hagrid The Hentai God*446.48*{'Training Point': 0}*{'Combat': [0, 0, 100], 'Defense': [1, 20, 120], 'Stealing': [2, 8, 144]}*None 0.0*None
778984541640589362 Bensnotracist69420*0.0*{}*{'Combat': [0, 0, 100], 'Defense': [0, 0, 100], 'Stealing': [0, 0, 100]}*None 0.0*None
